base_space_name,base_page_title,base_page_path,match_space_name,match_page_title,match_page_path
.Net Development,Tap & Go WebAPI - Release 1.0.12.462,.Net Development / .Net Development Home / Archive / Decommissioned / DECOMMISSIONED Clinical Workstation / Epic Shared Workstation Dev / Tap & Go (Badge Tap) - Decommissioned / Tap & Go Release Documentation / Tap & Go Deployments / Tap & Go WebAPI Deployments / Tap & Go WebAPI - Release 1.0.12.462,.Net Development,Tap & Go WebAPI Service Logs,.Net Development / .Net Development Home / Archive / Decommissioned / DECOMMISSIONED Clinical Workstation / Epic Shared Workstation Dev / Tap & Go (Badge Tap) - Decommissioned / Tap & Go Application Documentation / Tap & Go WebAPI Service / Tap & Go WebAPI Service Logs
.Net Development,Tap & Go WebAPI - Release 1.0.11.462,.Net Development / .Net Development Home / Archive / Decommissioned / DECOMMISSIONED Clinical Workstation / Epic Shared Workstation Dev / Tap & Go (Badge Tap) - Decommissioned / Tap & Go Release Documentation / Tap & Go Deployments / Tap & Go WebAPI Deployments / Tap & Go WebAPI - Release 1.0.11.462,.Net Development,Tap & Go WebAPI Service Logs,.Net Development / .Net Development Home / Archive / Decommissioned / DECOMMISSIONED Clinical Workstation / Epic Shared Workstation Dev / Tap & Go (Badge Tap) - Decommissioned / Tap & Go Application Documentation / Tap & Go WebAPI Service / Tap & Go WebAPI Service Logs
.Net Development,Tap & Go WebAPI - Release 1.0.10.462,.Net Development / .Net Development Home / Archive / Decommissioned / DECOMMISSIONED Clinical Workstation / Epic Shared Workstation Dev / Tap & Go (Badge Tap) - Decommissioned / Tap & Go Release Documentation / Tap & Go Deployments / Tap & Go WebAPI Deployments / Tap & Go WebAPI - Release 1.0.10.462,.Net Development,Tap & Go WebAPI Service Logs,.Net Development / .Net Development Home / Archive / Decommissioned / DECOMMISSIONED Clinical Workstation / Epic Shared Workstation Dev / Tap & Go (Badge Tap) - Decommissioned / Tap & Go Application Documentation / Tap & Go WebAPI Service / Tap & Go WebAPI Service Logs
.Net Development,Tap & Go WebAPI - Release 1.0.7.462,.Net Development / .Net Development Home / Archive / Decommissioned / DECOMMISSIONED Clinical Workstation / Epic Shared Workstation Dev / Tap & Go (Badge Tap) - Decommissioned / Tap & Go Release Documentation / Tap & Go Deployments / Tap & Go WebAPI Deployments / Tap & Go WebAPI - Release 1.0.7.462,.Net Development,Tap & Go WebAPI Service Logs,.Net Development / .Net Development Home / Archive / Decommissioned / DECOMMISSIONED Clinical Workstation / Epic Shared Workstation Dev / Tap & Go (Badge Tap) - Decommissioned / Tap & Go Application Documentation / Tap & Go WebAPI Service / Tap & Go WebAPI Service Logs
.Net Development,Tap & Go WebAPI Setup,.Net Development / .Net Development Home / Archive / Decommissioned / DECOMMISSIONED Clinical Workstation / Epic Shared Workstation Dev / Tap & Go (Badge Tap) - Decommissioned / Tap & Go Application Documentation / Tap & Go WebAPI Service / Tap & Go WebAPI Setup,.Net Development,Tap & Go WebAPI Service Logs,.Net Development / .Net Development Home / Archive / Decommissioned / DECOMMISSIONED Clinical Workstation / Epic Shared Workstation Dev / Tap & Go (Badge Tap) - Decommissioned / Tap & Go Application Documentation / Tap & Go WebAPI Service / Tap & Go WebAPI Service Logs
.Net Development,Tap & Go WebAPI Service,.Net Development / .Net Development Home / Archive / Decommissioned / DECOMMISSIONED Clinical Workstation / Epic Shared Workstation Dev / Tap & Go (Badge Tap) - Decommissioned / Tap & Go Application Documentation / Tap & Go WebAPI Service,.Net Development,Tap & Go WebAPI Service Logs,.Net Development / .Net Development Home / Archive / Decommissioned / DECOMMISSIONED Clinical Workstation / Epic Shared Workstation Dev / Tap & Go (Badge Tap) - Decommissioned / Tap & Go Application Documentation / Tap & Go WebAPI Service / Tap & Go WebAPI Service Logs
.Net Development,Provider System - Server/Network Configuration - Production,.Net Development / PFD Server/Network Configuration / Provider System - Server/Network Configuration - Production,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface,Provider and Facility Directory (PFD) / Provider & Facility Directory (PFD) (formerly APD - Accurate Provider Database) / Archived Pages / Provider System (APD) / Epic Provider Interface
.Net Development,Provider System - Server/Network Configuration - Test,.Net Development / PFD Server/Network Configuration / Provider System - Server/Network Configuration - Test,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface,Provider and Facility Directory (PFD) / Provider & Facility Directory (PFD) (formerly APD - Accurate Provider Database) / Archived Pages / Provider System (APD) / Epic Provider Interface
.Net Development,Provider System - Server/Network Configuration - Development,.Net Development / PFD Server/Network Configuration / Provider System - Server/Network Configuration - Development,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface,Provider and Facility Directory (PFD) / Provider & Facility Directory (PFD) (formerly APD - Accurate Provider Database) / Archived Pages / Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 5.15.4,Diane Steward / Manual Testing Home Page / Provider Facilities Directory / Provider Facilities Directory Archived Tests / Provider Facilities Directory Testing 2021 / Provider System Testing 5.15.4,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface,Provider and Facility Directory (PFD) / Provider & Facility Directory (PFD) (formerly APD - Accurate Provider Database) / Archived Pages / Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 5.16.3.462,Diane Steward / Manual Testing Home Page / Provider Facilities Directory / Provider Facilities Directory Archived Tests / Provider Facilities Directory Testing 2021 / Provider System Testing 5.16.3.462,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface,Provider and Facility Directory (PFD) / Provider & Facility Directory (PFD) (formerly APD - Accurate Provider Database) / Archived Pages / Provider System (APD) / Epic Provider Interface
